"SID","lat_WGS84","long_WGS84","POINT_X","POINT_Y"
208403,33.251768,-91.769947,391461.4085,1140110.142
208404,33.251424,-91.769777,391478.8393,1140072.475
208501,30.945289,-82.785467,1254998.648,961777.5987
208502,30.945546,-82.784943,1255044.13,961812.8201
208503,30.944038,-82.785159,1255046.991,961643.9036
208504,30.944821,-82.783971,1255147.021,961745.8188
208601,29.754339,-82.16263,1332931.069,839333.2776
208701,31.606221,-81.470506,1367752.084,1052683.343
208702,31.607315,-81.469641,1367814.325,1052816.176
208801,32.067637,-81.981458,1312454.902,1096294.728
208802,32.068172,-81.981366,1312454.69,1096354.967
208901,31.947112,-84.948088,1037691.917,1046295.948
208902,31.947786,-84.948787,1037617.87,1046362.897
209001,32.161457,-85.013931,1028782.475,1069303.918
209002,32.161292,-85.014489,1028732.576,1069279.611
209101,29.760601,-82.289328,1320711.804,838251.6025
209102,29.760851,-82.289821,1320660.658,838272.191
209103,29.760964,-82.289488,1320690.71,838289.2215
209104,29.760465,-82.289652,1320682.979,838232.1726
209201,29.764756,-82.243987,1324982.408,839338.7765
209301,30.476004,-82.095635,1327660.228,919523.7385
209302,30.476396,-82.096321,1327588.845,919557.2359
209401,30.160477,-83.747154,1175404.212,863064.591
209402,30.160755,-83.745427,1175564.994,863116.5575
209403,30.16132,-83.747079,1175399.335,863158.3243
209404,30.161171,-83.744697,1175628.694,863171.3851
209501,30.238889,-82.333212,1308907.17,890170.9788
209502,30.238189,-82.334158,1308828.332,890081.031
209503,30.239648,-82.333634,1308854.956,890248.5687
209504,30.239107,-82.333969,1308831.702,890184.5076
209601,29.803965,-82.208843,1327714.814,844132.6279
209602,29.803922,-82.208481,1327750.109,844132.966
209603,29.80331,-82.208931,1327716.908,844059.5081
209604,29.803415,-82.208224,1327782.81,844080.9103
209701,31.124345,-81.753152,1349355.828,995629.4463
209702,31.127409,-81.753677,1349255.575,995958.9955
209703,31.125186,-81.753689,1349291.377,995714.3215
209704,31.126837,-81.753558,1349276.264,995897.7717
209801,30.665522,-81.833727,1349357.443,944040.6284
209802,30.667141,-81.835507,1349162.435,944193.2835
209901,31.296844,-81.848875,1337509.835,1013253.684
209902,31.2966,-81.847961,1337599.611,1013239.698
210001,31.342851,-81.857041,1335984.634,1018201.759
210002,31.340636,-81.85585,1336132.859,1017974.737
210101,29.663549,-83.167987,1238054.69,815764.3012
210102,29.66433,-83.167254,1238113.322,815859.6647
210201,30.666307,-81.7915,1353336.658,944727.3528
210202,30.668182,-81.792015,1353256.934,944926.0669
210203,30.666622,-81.790594,1353417.094,944774.8712
210204,30.668237,-81.791144,1353338.364,944944.5142
210301,31.07152,-87.2409,832075.1898,926792.8307
210302,31.07147,-87.2378,832369.3529,926814.4403
210303,31.07155,-87.2403,832131.7184,926801.4068
210304,31.07149,-87.2377,832378.6207,926817.5312
210401,29.692852,-81.742639,1374107.817,838570.3723
210402,29.69357,-81.743496,1374013.941,838636.7088
210403,29.692979,-81.743104,1374061.232,838577.5742
210501,29.885506,-82.057351,1340872.815,855209.0466
210502,29.884818,-82.05727,1340891.707,855134.6809
210601,29.722967,-82.414325,1309348.357,832391.0626
210602,29.722478,-82.414143,1309373.505,832339.8925
